timestamp,open,high,low,close,volume
2023-06-08,14.01,14.11,13.79,13.93,920454.95
2023-06-09,13.93,14.25,13.7,13.75,1330825.25
2023-06-10,13.76,13.76,10.0,11.65,7634205.663
2023-06-11,11.65,11.81,11.44,11.58,1692031.53
2023-06-12,11.58,11.61,11.16,11.52,1987087.75
2023-06-13,11.52,12.08,11.43,11.8,1946941.54
2023-06-14,11.8,11.96,11.16,11.38,2059036.04
2023-06-15,11.39,11.57,11.02,11.41,2323911.7
2023-06-16,11.4,11.73,11.22,11.55,1210256.45
2023-06-17,11.54,11.85,11.47,11.62,1144774.1
2023-06-18,11.63,11.63,11.25,11.34,1329941.71
2023-06-19,11.34,11.52,11.17,11.47,1123434.72
2023-06-20,11.48,12.13,11.17,12.12,1626750.24
2023-06-21,12.12,13.04,12.06,12.9,2738855.15
2023-06-22,12.9,13.24,12.58,12.65,2240979.03
2023-06-23,12.66,13.51,12.62,13.29,2283130.73
2023-06-24,13.28,13.4,12.73,13.01,1396657.31
2023-06-25,13.01,13.68,12.97,13.44,1464082.61
2023-06-26,13.44,13.69,12.96,13.15,2115880.03
2023-06-27,13.15,13.47,13.09,13.2,1323233.27
2023-06-28,13.2,13.21,12.08,12.34,2629569.82
2023-06-29,12.34,12.96,12.27,12.67,1769980.72
2023-06-30,12.68,13.34,12.12,13.03,3869609.02
2023-07-01,13.03,13.16,12.83,12.99,1571688.38
2023-07-02,13.0,13.22,12.71,13.13,2019538.49
2023-07-03,13.13,13.49,13.07,13.25,2397430.98
2023-07-04,13.25,13.4,13.0,13.04,2120178.89
2023-07-05,13.04,13.16,12.5,12.67,1996286.11
2023-07-06,12.67,13.12,12.24,12.37,2295716.98
2023-07-07,12.37,12.75,12.25,12.74,1501124.31
2023-07-08,12.74,13.89,12.72,13.64,4132298.8
2023-07-09,13.64,14.21,13.57,13.58,2882299.75
2023-07-10,13.58,13.85,13.16,13.39,2544390.52
2023-07-11,13.38,13.69,13.15,13.27,2000014.47
2023-07-12,13.26,13.38,12.85,13.01,1755979.45
2023-07-13,13.01,14.2,12.89,14.11,4270359.34
2023-07-14,14.11,15.97,14.02,14.64,8887780.0
2023-07-15,14.63,15.35,14.41,14.84,2332639.5
2023-07-16,14.84,14.93,14.16,14.29,1645509.68
2023-07-17,14.29,14.62,13.8,14.4,1862297.69
2023-07-18,14.4,14.59,13.61,13.8,1504811.26
2023-07-19,13.8,14.27,13.76,13.99,1249131.35
2023-07-20,13.99,14.42,13.68,13.88,1776280.27
2023-07-21,13.87,14.07,13.72,13.98,920020.15
2023-07-22,13.98,14.05,13.29,13.53,911581.17
2023-07-23,13.52,13.75,13.39,13.54,798875.26
2023-07-24,13.54,13.6,12.77,13.11,1501733.4
2023-07-25,13.11,13.55,13.04,13.33,1578349.7
2023-07-26,13.34,13.47,13.08,13.27,1381301.05
2023-07-27,13.27,13.43,13.02,13.15,898069.06
2023-07-28,13.15,13.3,13.01,13.22,669907.99
2023-07-29,13.23,13.3,13.15,13.23,306523.52
2023-07-30,13.24,13.41,12.92,13.12,898388.07
2023-07-31,13.12,13.42,12.69,12.82,1110757.24
2023-08-01,12.81,12.9,12.4,12.89,1385072.75
2023-08-02,12.89,12.96,12.42,12.55,1017575.22
2023-08-03,12.54,12.64,12.36,12.44,956470.45
2023-08-04,12.45,12.61,12.25,12.41,699345.21
2023-08-05,12.41,12.45,12.29,12.45,412492.25
2023-08-06,12.45,12.67,12.42,12.59,562034.72
2023-08-07,12.6,12.77,12.2,12.47,1011365.55
2023-08-08,12.46,12.81,12.38,12.68,1262794.87
2023-08-09,12.69,12.81,12.5,12.62,824323.31
