timestamp,open,high,low,close,volume
2025-09-18 12:00:00,3.8775,3.9705,3.8558,3.9549,14104282.3
2025-09-18 16:00:00,3.9548,3.9765,3.9275,3.9514,9053206.8
2025-09-18 20:00:00,3.9511,3.9604,3.8621,3.8889,12269107.7
2025-09-19 00:00:00,3.8888,3.9159,3.8318,3.8379,12264407.8
2025-09-19 04:00:00,3.8379,3.8648,3.7771,3.7994,12365146.8
2025-09-19 08:00:00,3.7994,3.823,3.7059,3.7157,11514169.6
2025-09-19 12:00:00,3.7159,3.7556,3.6416,3.6621,14265295.4
2025-09-19 16:00:00,3.6621,3.681,3.6327,3.6476,8369588.4
2025-09-19 20:00:00,3.6479,3.6858,3.6118,3.6367,7123775.5
2025-09-20 00:00:00,3.6368,3.6946,3.6323,3.6873,3770364.9
2025-09-20 04:00:00,3.6874,3.7,3.6633,3.6878,3359416.2
2025-09-20 08:00:00,3.6877,3.6882,3.6189,3.6435,4239156.5
2025-09-20 12:00:00,3.6434,3.7035,3.6347,3.6935,6818020.0
2025-09-20 16:00:00,3.6936,3.7096,3.645,3.6555,3802376.7
2025-09-20 20:00:00,3.6554,3.6851,3.6496,3.6572,1356266.9
2025-09-21 00:00:00,3.6572,3.6756,3.6374,3.6685,3364918.9
2025-09-21 04:00:00,3.6685,3.6839,3.6495,3.664,2787222.3
2025-09-21 08:00:00,3.6638,3.666,3.588,3.6196,4612957.3
2025-09-21 12:00:00,3.6195,3.672,3.6185,3.6298,2994298.4
2025-09-21 16:00:00,3.63,3.6446,3.5955,3.6373,2622108.1
2025-09-21 20:00:00,3.6372,3.6403,3.6002,3.6091,1716502.4
2025-09-22 00:00:00,3.6089,3.6296,3.467,3.5144,12730065.0
2025-09-22 04:00:00,3.5145,3.5213,3.235,3.3458,25313649.3
2025-09-22 08:00:00,3.3459,3.3836,3.3241,3.359,9715389.4
2025-09-22 12:00:00,3.359,3.4072,3.3452,3.3614,10765090.5
2025-09-22 16:00:00,3.3614,3.3771,3.3103,3.3171,5595407.0
2025-09-22 20:00:00,3.3173,3.3685,3.3123,3.3633,4124958.8
2025-09-23 00:00:00,3.3633,3.3851,3.2782,3.369,6148307.2
2025-09-23 04:00:00,3.3691,3.404,3.3411,3.3759,4820429.6
2025-09-23 08:00:00,3.376,3.4017,3.3586,3.3696,4053097.2
2025-09-23 12:00:00,3.3696,3.3979,3.3424,3.3787,6683334.7
2025-09-23 16:00:00,3.3788,3.4192,3.3165,3.325,6807506.5
2025-09-23 20:00:00,3.3249,3.3627,3.309,3.3199,2949391.1
2025-09-24 00:00:00,3.3199,3.3671,3.275,3.2765,4913187.5
2025-09-24 04:00:00,3.2765,3.3764,3.2341,3.3671,7284808.0
2025-09-24 08:00:00,3.3672,3.4017,3.366,3.3944,3381455.4
2025-09-24 12:00:00,3.3942,3.4402,3.3728,3.4,5108035.0
2025-09-24 16:00:00,3.4,3.4048,3.3765,3.3917,3485365.2
2025-09-24 20:00:00,3.3919,3.4004,3.3479,3.3633,6050624.7
2025-09-25 00:00:00,3.3633,3.3699,3.2877,3.3112,9853387.5
